 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
  357.00  221.61  -25.00  200.00   16.64    0.00    0.00
  358.00  221.64  -25.00  200.00   16.64    0.00    0.00
  359.00  221.66  -25.00  200.00   16.65    0.00    0.00
  360.00  221.67  -25.00  200.00   16.66    0.00    0.00
  361.00  221.69  -25.00  200.00   16.65    0.00    0.00
  362.00  221.72  -25.00  200.00   16.64    0.00    0.00
  363.00  221.75  -25.00  200.00   16.64    0.00    0.00
  364.00  221.77  -25.00  200.00   16.64    0.00    0.00
  365.00  221.79  -25.00  200.00   16.65    0.00    0.00
  366.00  221.80  -25.00  200.00   16.66    0.00    0.00
  367.00  221.83  -25.00  200.00   16.64    0.00    0.00
  368.00  221.85  -25.00  200.00   16.64    0.00    0.00
  369.00  221.89  -25.00  200.00   16.63    0.00    0.00
  370.00  221.91  -25.00  200.00   16.65    0.00    0.00
  371.00  221.93  -25.00  200.00   16.66    0.00    0.00
  372.00  221.94  -25.00  200.00   16.66    0.00    0.00
  373.00  221.97  -25.00  200.00   16.64    0.00    0.00
  374.00  222.00  -25.00  200.00   16.64    0.00    0.00
  375.00  222.03  -25.00  200.00   16.64    0.00    0.00
  376.00  222.05  -25.00  200.00   16.65    0.00    0.00
  377.00  222.06  -25.00  200.00   16.66    0.00    0.00
  378.00  222.08  -25.00  200.00   16.65    0.00    0.00
  379.00  222.11  -25.00  200.00   16.63    0.00    0.00
  380.00  222.14  -25.00  200.00   16.64    0.00    0.00
  381.00  222.16  -25.00  200.00   16.64    0.00    0.00
  382.00  222.18  -25.00  200.00   16.65    0.00    0.00
  383.00  222.20  -25.00  200.00   16.66    0.00    0.00
  384.00  222.22  -25.00  200.00   16.65    0.00    0.00
  385.00  222.24  -25.00  200.00   16.64    0.00    0.00
  386.00  222.28  -25.00  200.00   16.63    0.00    0.00
  387.00  222.30  -25.00  200.00   16.64    0.00    0.00
  388.00  222.32  -25.00  200.00   16.65    0.00    0.00
  389.00  222.33  -25.00  200.00   16.66    0.00    0.00
  390.00  222.36  -25.00  200.00   16.64    0.00    0.00
  391.00  222.38  -25.00  200.00   16.64    0.00    0.00
  392.00  222.41  -25.00  200.00   16.63    0.00    0.00
  393.00  222.44  -25.00  200.00   16.64    0.00    0.00
  394.00  222.45  -25.00  200.00   16.66    0.00    0.00
  395.00  222.47  -25.00  200.00   16.65    0.00    0.00
  396.00  222.50  -25.00  200.00   16.63    0.00    0.00
  397.00  222.53  -25.00  200.00   16.64    0.00    0.00
  398.00  222.55  -25.00  200.00   16.64    0.00    0.00
  399.00  222.58  -25.00  200.00   16.65    0.00    0.00
  400.00  222.59  -25.00  200.00   16.66    0.00    0.00
